"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"ggplot2","ggplot2","C:/Program Files/R/R-4.2.3/library","3.4.2",NA,"R (>= 3.3)","cli, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
lifecycle (> 1.0.1), MASS, mgcv, rlang (>= 1.1.0), scales (>=
1.2.0), stats, tibble, vctrs (>= 0.5.0), withr (>= 2.5.0)",NA,"covr, dplyr, ggplot2movies, hexbin, Hmisc, knitr, lattice,
mapproj, maps, maptools, multcomp, munsell, nlme, profvis,
quantreg, ragg, RColorBrewer, rgeos, rmarkdown, rpart, sf (>=
0.7-3), svglite (>= 1.2.0.9001), testthat (>= 3.1.2), vdiffr
(>= 1.0.0), xml2","sp","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ggplot2movies","ggplot2movies","C:/Program Files/R/R-4.2.3/library","0.0.1",NA,"R (>= 2.10.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggpubr","ggpubr","C:/Program Files/R/R-4.2.3/library","0.6.0",NA,"R (>= 3.1.0), ggplot2 (>= 3.4.0)","ggrepel (>= 0.9.2), grid, ggsci, stats, utils, tidyr (>=
1.3.0), purrr, dplyr (>= 0.7.1), cowplot (>= 1.1.1), ggsignif,
scales, gridExtra, glue, polynom, rlang (>= 0.4.6), rstatix (>=
0.7.2), tibble, magrittr",NA,"grDevices, knitr, RColorBrewer, gtable, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"ggraph","ggraph","C:/Program Files/R/R-4.2.3/library","2.1.0",NA,"R (>= 2.10), ggplot2 (>= 3.0.0)","Rcpp (>= 0.12.2), dplyr, ggforce (>= 0.3.1), grid, igraph (>=
1.0.0), scales, MASS, digest, gtable, ggrepel, utils, stats,
viridis, rlang, tidygraph, graphlayouts (>= 0.5.0), withr, cli,
vctrs, lifecycle","Rcpp","network, knitr, rmarkdown, purrr, tibble, seriation, deldir,
gganimate, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"ggrepel","ggrepel","C:/Program Files/R/R-4.2.3/library","0.9.3",NA,"R (>= 3.0.0), ggplot2 (>= 2.2.0)","grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0), withr (>=
2.5.0)","Rcpp","knitr, rmarkdown, testthat, svglite, vdiffr, gridExtra,
devtools, prettydoc, ggbeeswarm, dplyr, magrittr, readr,
stringr",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"ggridges","ggridges","C:/Program Files/R/R-4.2.3/library","0.5.4",NA,"R (>= 3.2)","ggplot2 (>= 3.0.0), grid (>= 3.0.0), scales (>= 0.4.1), withr
(>= 2.1.1)",NA,"covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",NA,"GPL-2 | file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ggsci","ggsci","C:/Program Files/R/R-4.2.3/library","3.0.0",NA,"R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",NA,"gridExtra, knitr, ragg, reshape2, rmarkdown",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"ggsignif","ggsignif","C:/Program Files/R/R-4.2.3/library","0.6.4",NA,NA,"ggplot2 (>= 3.3.5)",NA,"knitr, rmarkdown, testthat, vdiffr (>= 1.0.2)",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ggthemes","ggthemes","C:/Program Files/R/R-4.2.3/library","4.2.4",NA,"R (>= 3.3.0)","ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble",NA,"dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"gh","gh","C:/Program Files/R/R-4.2.3/library","1.4.0",NA,"R (>= 3.4)","cli (>= 3.0.1), gitcreds, httr2, ini, jsonlite, rlang (>=
1.0.0)",NA,"covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"gitcreds","gitcreds","C:/Program Files/R/R-4.2.3/library","0.1.2",NA,"R (>= 3.4)",NA,NA,"codetools, covr, knitr, mockery, oskeyring, rmarkdown,
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"glasso","glasso","C:/Program Files/R/R-4.2.3/library","1.11",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"gld","gld","C:/Program Files/R/R-4.2.3/library","2.6.6",NA,NA,"stats, graphics, e1071, lmom",NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"glmmTMB","glmmTMB","C:/Program Files/R/R-4.2.3/library","1.1.7",NA,"R (>= 3.2.0)","methods, TMB (>= 1.9.0), lme4 (>= 1.1-18.9000), Matrix, nlme,
numDeriv","TMB, RcppEigen","knitr, rmarkdown, testthat, MASS, lattice, ggplot2 (>=
2.2.1), mlmRev, bbmle (>= 1.0.19), pscl, coda, reshape2, car
(>= 3.0.6), emmeans (>= 1.4), estimability, DHARMa, multcomp,
MuMIn, effects (>= 4.0-1), dotwhisker, broom, broom.mixed,
plyr, png, boot, texreg, xtable, huxtable, mvabund, parallel",NA,"AGPL-3",NA,NA,NA,NA,"yes","4.2.3"
"glmnet","glmnet","C:/Program Files/R/R-4.2.3/library","4.1-7",NA,"R (>= 3.6.0), Matrix (>= 1.0-6)","methods, utils, foreach, shape, survival, Rcpp","RcppEigen, Rcpp","knitr, lars, testthat, xfun, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"globals","globals","C:/Program Files/R/R-4.2.3/library","0.16.2",NA,"R (>= 3.1.2)","codetools",NA,NA,NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.2"
"glue","glue","C:/Program Files/R/R-4.2.3/library","1.6.2",NA,"R (>= 3.4)","methods",NA,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"gmp","gmp","C:/Program Files/R/R-4.2.3/library","0.7-1",NA,"R (>= 3.5.0)","methods",NA,"Rmpfr, MASS, round",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"googledrive","googledrive","C:/Program Files/R/R-4.2.3/library","2.1.1",NA,"R (>= 3.6)","cli (>= 3.0.0), gargle (>= 1.5.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar (>= 1.9.0), purrr (>=
1.0.1), rlang (>= 1.0.2), tibble (>= 2.0.0), utils, uuid, vctrs
(>= 0.3.0), withr",NA,"curl, dplyr (>= 1.0.0), knitr, mockr, rmarkdown, spelling,
testthat (>= 3.1.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"googlesheets4","googlesheets4","C:/Program Files/R/R-4.2.3/library","1.1.1",NA,"R (>= 3.6)","cellranger, cli (>= 3.0.0), curl, gargle (>= 1.5.0), glue (>=
1.3.0), googledrive (>= 2.1.0), httr, ids, lifecycle, magrittr,
methods, purrr, rematch2, rlang (>= 1.0.2), tibble (>= 2.1.1),
utils, vctrs (>= 0.2.3), withr",NA,"readr, rmarkdown, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"googleVis","googleVis","C:/Program Files/R/R-4.2.3/library","0.7.1",NA,"R (>= 3.0.2)","methods, jsonlite, utils",NA,"shiny (>= 0.4.0), httpuv (>= 1.2.0), knitr (>= 1.5),
rmarkdown, markdown, data.table",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"gower","gower","C:/Program Files/R/R-4.2.3/library","1.0.1",NA,NA,NA,NA,"tinytest (>= 0.9.3),",NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"gplots","gplots","C:/Program Files/R/R-4.2.3/library","3.1.3",NA,"R (>= 3.0)","gtools, stats, caTools, KernSmooth, methods",NA,"grid, MASS, knitr, r2d2",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"graphics","graphics","C:/Program Files/R/R-4.2.3/library","4.2.3","base",NA,"grDevices",NA,NA,NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"graphlayouts","graphlayouts","C:/Program Files/R/R-4.2.3/library","1.0.0",NA,"R (>= 3.2.0)","igraph, Rcpp","Rcpp, RcppArmadillo","oaqc, testthat, ggraph, ggplot2, knitr, rmarkdown, uwot",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"grDevices","grDevices","C:/Program Files/R/R-4.2.3/library","4.2.3","base",NA,NA,NA,"KernSmooth",NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"grid","grid","C:/Program Files/R/R-4.2.3/library","4.2.3","base",NA,"grDevices, utils",NA,NA,NA,"Part of R 4.2.3",NA,NA,NA,NA,"yes","4.2.3"
"gridExtra","gridExtra","C:/Program Files/R/R-4.2.3/library","2.3",NA,NA,"gtable, grid, grDevices, graphics, utils",NA,"ggplot2, egg, lattice, knitr, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"gsl","gsl","C:/Program Files/R/R-4.2.3/library","2.1-8",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"gss","gss","C:/Program Files/R/R-4.2.3/library","2.2-4",NA,"R (>= 3.0.0), stats",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.2"
"gsynth","gsynth","C:/Program Files/R/R-4.2.3/library","1.2.1",NA,"R (>= 2.10)","Rcpp (>= 0.12.3), ggplot2 (>= 2.1.0), GGally (>= 1.0.1),
future (>= 1.21.0), doRNG (>= 1.8.2), doParallel (>= 1.0.10),
foreach (>= 1.4.3), abind (>= 1.4-0), mvtnorm (>= 1.0-6), MASS
(>= 7.3.47), lfe (>= 1.0-0)","Rcpp, RcppArmadillo",NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"gtable","gtable","C:/Program Files/R/R-4.2.3/library","0.3.3",NA,"R (>= 3.5)","cli, glue, grid, lifecycle, rlang (>= 1.1.0)",NA,"covr, ggplot2, knitr, profvis, rmarkdown, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"gtools","gtools","C:/Program Files/R/R-4.2.3/library","3.9.4",NA,"methods, stats, utils",NA,NA,"car, gplots, knitr, rstudioapi, SGP, taxize",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"hardhat","hardhat","C:/Program Files/R/R-4.2.3/library","1.3.0",NA,"R (>= 3.5.0)","cli (>= 3.6.0), glue (>= 1.6.2), rlang (>= 1.1.0), tibble (>=
3.2.1), vctrs (>= 0.6.0)",NA,"covr, crayon, devtools, knitr, Matrix, modeldata (>= 0.0.2),
recipes (>= 1.0.5), rmarkdown (>= 2.3), roxygen2, testthat (>=
3.0.0), usethis (>= 2.1.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"haven","haven","C:/Program Files/R/R-4.2.3/library","2.5.2",NA,"R (>= 3.4)","cli (>= 3.0.0), forcats (>= 0.2.0), hms, lifecycle, methods,
readr (>= 0.1.0), rlang (>= 0.4.0), tibble, tidyselect, vctrs
(>= 0.3.0)","cpp11","covr, crayon, fs, knitr, pillar (>= 1.4.0), rmarkdown,
testthat (>= 3.0.0), utf8",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"heplots","heplots","C:/Program Files/R/R-4.2.3/library","1.4-2",NA,"R (>= 3.5.0), car (>= 3.0), broom","MASS, graphics, grDevices, stats, utils, magrittr, purrr,
tibble",NA,"rgl, candisc, effects, reshape, gplots, nlme, lattice,
reshape2, corrgram, animation, mvinfluence, knitr, rmarkdown,
dplyr, tidyr, ggplot2, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"here","here","C:/Program Files/R/R-4.2.3/library","1.0.1",NA,NA,"rprojroot (>= 2.0.2)",NA,"conflicted, covr, fs, knitr, palmerpenguins, plyr, readr,
rlang, rmarkdown, testthat, uuid, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"hexbin","hexbin","C:/Program Files/R/R-4.2.3/library","1.28.3",NA,"R (>= 2.0.1), methods","lattice, grid, graphics, grDevices, stats, utils",NA,"marray, affy, Biobase, limma, knitr",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"hexView","hexView","C:/Program Files/R/R-4.2.3/library","0.3-4",NA,"R (>= 1.8.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"highcharter","highcharter","C:/Program Files/R/R-4.2.3/library","0.9.4",NA,"R (>= 2.10)","htmlwidgets, magrittr, purrr, rlist, assertthat, zoo, dplyr
(>= 1.0.0), tibble (>= 1.1), stringr (>= 1.3.0), broom, xts,
quantmod, tidyr, htmltools, jsonlite, igraph, lubridate, yaml,
rlang (>= 0.1.1), rjson",NA,"knitr, rmarkdown, survival, ggplot2, httr, viridisLite,
shiny, MASS, gapminder, forecast, geojsonio, testthat, covr,
spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"highr","highr","C:/Program Files/R/R-4.2.3/library","0.10",NA,"R (>= 3.3.0)","xfun (>= 0.18)",NA,"knitr, markdown, testit",NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"Hmisc","Hmisc","C:/Program Files/R/R-4.2.3/library","5.0-1",NA,NA,"methods, ggplot2, cluster, rpart, nnet, foreign, gtable, grid,
gridExtra, data.table, htmlTable (>= 1.11.0), viridis,
htmltools, base64enc, colorspace, rmarkdown, knitr, Formula",NA,"survival, qreport, acepack, chron, rms, mice, rstudioapi,
tables, plotly (>= 4.5.6), rlang, plyr, VGAM, leaps, pcaPP,
digest, parallel, polspline, abind, kableExtra, rio, lattice,
latticeExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"hms","hms","C:/Program Files/R/R-4.2.3/library","1.1.3",NA,NA,"lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>=
0.3.8)",NA,"crayon, lubridate, pillar (>= 1.1.0), testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"htmlTable","htmlTable","C:/Program Files/R/R-4.2.3/library","2.4.1",NA,NA,"stringr, knitr (>= 1.6), magrittr (>= 1.5), methods,
checkmate, htmlwidgets, htmltools, rstudioapi (>= 0.6)",NA,"testthat, XML, xml2, Hmisc, reshape, rmarkdown, chron,
lubridate, tibble, purrr, tidyselect, glue, rlang, tidyr (>=
0.7.2), dplyr (>= 0.7.4)",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"htmltools","htmltools","C:/Program Files/R/R-4.2.3/library","0.5.5",NA,"R (>= 2.14.1)","utils, digest, grDevices, base64enc, rlang (>= 0.4.10),
fastmap (>= 1.1.0), ellipsis",NA,"markdown, testthat, withr, Cairo, ragg, shiny","knitr","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"htmlwidgets","htmlwidgets","C:/Program Files/R/R-4.2.3/library","1.6.2",NA,NA,"grDevices, htmltools (>= 0.5.4), jsonlite (>= 0.9.16), yaml,
knitr (>= 1.8), rmarkdown",NA,"testthat","shiny (>= 1.1)","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"httpuv","httpuv","C:/Program Files/R/R-4.2.3/library","1.6.9",NA,"R (>= 2.15.1)","Rcpp (>= 1.0.7), utils, R6, promises, later (>= 0.8.0)","Rcpp, later","testthat, callr, curl, websocket",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"httr","httr","C:/Program Files/R/R-4.2.3/library","1.4.6",NA,"R (>= 3.5)","curl (>= 3.0.0), jsonlite, mime, openssl (>= 0.8), R6",NA,"covr, httpuv, jpeg, knitr, png, readr, rmarkdown, testthat
(>= 0.8.0), xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"httr2","httr2","C:/Program Files/R/R-4.2.3/library","0.2.2",NA,"R (>= 3.4)","cli (>= 3.0.0), curl, glue, magrittr, openssl, R6, rappdirs,
rlang (>= 1.0.0), withr",NA,"askpass, bench, clipr, covr, docopt, httpuv, jose, jsonlite,
knitr, purrr, rmarkdown, testthat (>= 3.0.0), tibble, webfakes,
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"huxtable","huxtable","C:/Program Files/R/R-4.2.3/library","5.5.2",NA,"R (>= 2.10)","assertthat, commonmark, fansi, generics, glue, htmltools,
memoise, R6, rlang, stats, stringi, stringr (>= 1.2.0),
tidyselect, utils, xml2",NA,"AER, bookdown, broom (>= 0.5.1), broom.mixed, covr, crayon,
devtools, dplyr (>= 0.7.0), flextable (>= 0.5.5), ftExtra (>=
0.0.2), ggplot2, httr, knitr, lme4, lmtest, nlme, nnet,
officer, openxlsx, psych, quarto, rmarkdown, sandwich, scales,
testthat, tibble, tinytex",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ICS","ICS","C:/Program Files/R/R-4.2.3/library","1.3-2",NA,"methods, mvtnorm","survey, graphics",NA,"pixmap, robustbase, MASS, ICSNP",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"ICSNP","ICSNP","C:/Program Files/R/R-4.2.3/library","1.1-1",NA,"R (>= 2.4.0), mvtnorm, ICS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"ids","ids","C:/Program Files/R/R-4.2.3/library","1.0.1",NA,NA,"openssl, uuid",NA,"knitr, rcorpora, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"igraph","igraph","C:/Program Files/R/R-4.2.3/library","1.5.0",NA,"methods, R (>= 3.5.0)","cli, graphics, grDevices, magrittr, Matrix, pkgconfig (>=
2.0.0), rlang, stats, utils","cpp11 (>= 0.2.0)","ape (>= 5.7-0.1), callr, decor, digest, graph, igraphdata,
knitr, rgl, rmarkdown, scales, stats4, tcltk, testthat, vdiffr,
withr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"igraphdata","igraphdata","C:/Program Files/R/R-4.2.3/library","1.0.1",NA,"R (>= 2.10)",NA,NA,"igraph (>= 1.0.0)",NA,"CC BY-SA 4.0 + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"ineq","ineq","C:/Program Files/R/R-4.2.3/library","0.2-13",NA,"R (>= 2.10.0)","stats, graphics, grDevices",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ini","ini","C:/Program Files/R/R-4.2.3/library","0.3.1",NA,NA,NA,NA,"testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"insight","insight","C:/Program Files/R/R-4.2.3/library","0.19.1",NA,"R (>= 3.5)","methods, stats, utils",NA,"AER, afex, aod, BayesFactor, bayestestR, bbmle, bdsmatrix,
betareg, bife, biglm, blavaan, blme, boot, brms, censReg, cgam,
clubSandwich, coxme, cplm, crch, datawizard, effectsize,
emmeans, epiR, estimatr, feisr, fixest, fungible, gam, gamlss,
gamm4, gbm, gee, geepack, geoR, GLMMadaptive, glmmTMB, gmnl,
gt, httr, ivreg, JM, knitr, lavaan, lavaSearch2, lfe, lme4,
lmerTest, lmtest, logistf, logitr, MASS, marginaleffects,
Matrix, mclogit, mclust, MCMCglmm, merTools, metaBMA, metafor,
metaplus, mgcv, mice, mlogit, mhurdle, mmrm, multgee, nlme,
nnet, nonnest2, ordinal, panelr, parameters, parsnip, pbkrtest,
performance, plm, poorman, pscl, psych, quantreg, rmarkdown,
rms, robustbase, robustlmm, rstanarm (>= 2.21.1), rstantools,
rstudioapi, sandwich, speedglm, splines, statmod, survey,
survival, testthat, truncreg, tweedie, TMB, VGAM",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.3"
"interactions","interactions","C:/Program Files/R/R-4.2.3/library","1.1.5",NA,NA,"ggplot2, crayon, cli, generics, jtools (>= 2.0.3), rlang (>=
0.3.0), tibble",NA,"broom, cowplot, ggstance, glue, huxtable (>= 3.0.0), lme4,
margins, sandwich, survey, knitr, rmarkdown, testthat, vdiffr","brms, rstanarm","MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"interp","interp","C:/Program Files/R/R-4.2.3/library","1.1-4",NA,"R (>= 3.5.0)","Rcpp (>= 0.12.9), deldir","Rcpp, RcppEigen","sp, Deriv, Ryacas, ggplot2, gridExtra, lattice, stringi,
stringr, scatterplot3d, MASS","RcppEigen","GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"investr","investr","C:/Program Files/R/R-4.2.3/library","1.4.2",NA,"R (>= 3.3.0)","graphics, nlme, stats, utils",NA,"boot, datasets, knitr, MASS, testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
"ipred","ipred","C:/Program Files/R/R-4.2.3/library","0.9-14",NA,"R (>= 2.10)","rpart (>= 3.1-8), MASS, survival, nnet, class, prodlim",NA,"mvtnorm, mlbench, TH.data, randomForest, party",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.3"
"IRdisplay","IRdisplay","C:/Program Files/R/R-4.2.3/library","1.1",NA,"R (>= 3.0.1)","methods, repr",NA,"testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"irr","irr","C:/Program Files/R/R-4.2.3/library","0.84.1",NA,"R (>= 2.10), lpSolve",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.2"
"isoband","isoband","C:/Program Files/R/R-4.2.3/library","0.2.7",NA,NA,"grid, utils",NA,"covr, ggplot2, knitr, magick, microbenchmark, rmarkdown, sf,
testthat, xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"iterators","iterators","C:/Program Files/R/R-4.2.3/library","1.0.14",NA,"R (>= 2.5.0), utils",NA,NA,"RUnit, foreach",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.2.3"
"itertools","itertools","C:/Program Files/R/R-4.2.3/library","0.1-3",NA,"R (>= 2.14.0), iterators(>= 1.0.0)","parallel",NA,"foreach",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"jomo","jomo","C:/Program Files/R/R-4.2.3/library","2.7-6",NA,NA,"stats, lme4, survival, MASS, ordinal, tibble",NA,"mitml",NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.3"
"jpeg","jpeg","C:/Program Files/R/R-4.2.3/library","0.1-10",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.2"
"jquerylib","jquerylib","C:/Program Files/R/R-4.2.3/library","0.1.4",NA,NA,"htmltools",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"jsonlite","jsonlite","C:/Program Files/R/R-4.2.3/library","1.8.4",NA,"methods",NA,NA,"httr, vctrs, testthat, knitr, rmarkdown, R.rsp, sf",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.3"
"jtools","jtools","C:/Program Files/R/R-4.2.3/library","2.2.1",NA,"R (>= 3.5.0)","crayon, generics, ggplot2 (>= 3.3.0), magrittr, pander,
pkgconfig, rlang (>= 0.3.0), tibble",NA,"boot, broom, broom.mixed, huxtable (>= 3.0.0), kableExtra,
lme4, lmerTest, MASS, methods, pbkrtest, RColorBrewer,
sandwich, scales, survey, weights, knitr, rmarkdown, testthat,
vdiffr","brms, quantreg, rstanarm","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"kableExtra","kableExtra","C:/Program Files/R/R-4.2.3/library","1.3.4",NA,"R (>= 3.1.0)","knitr (>= 1.16), magrittr, stringr (>= 1.0), xml2 (>= 1.1.1),
rvest, rmarkdown (>= 1.6.0), scales, viridisLite, stats,
grDevices, htmltools, rstudioapi, glue, tools, webshot, digest,
graphics, svglite",NA,"testthat, magick, formattable, sparkline",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.3"
"kappalab","kappalab","C:/Program Files/R/R-4.2.3/library","0.4-10",NA,"R(>= 2.1.0), methods, lpSolve, quadprog, kernlab",NA,NA,NA,NA,"CeCILL",NA,NA,NA,NA,"yes","4.2.2"
"kernlab","kernlab","C:/Program Files/R/R-4.2.3/library","0.9-32",NA,"R (>= 2.10)","methods, stats, grDevices, graphics",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.2"
"KernSmooth","KernSmooth","C:/Program Files/R/R-4.2.3/library","2.23-20","recommended","R (>= 2.5.0), stats",NA,NA,"MASS, carData",NA,"Unlimited",NA,NA,NA,NA,"yes","4.2.3"
"klaR","klaR","C:/Program Files/R/R-4.2.3/library","1.7-2",NA,"R (>= 2.10.0), MASS","combinat, questionr, grDevices, stats, utils, graphics",NA,"scatterplot3d (>= 0.3-22), som, mlbench, rpart, e1071","clustMixType, randomForest, ClustVarLV","GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.3"
"knitr","knitr","C:/Program Files/R/R-4.2.3/library","1.43",NA,"R (>= 3.3.0)","evaluate (>= 0.15), highr, methods, tools, xfun (>= 0.39),
yaml (>= 2.1.19)",NA,"bslib, codetools, DBI (>= 0.4-1), digest, formatR, gifski,
gridSVG, htmlwidgets (>= 0.7), curl, jpeg, JuliaCall (>=
0.11.1), magick, markdown (>= 1.3), png, ragg, reticulate (>=
1.4), rgl (>= 0.95.1201), rlang, rmarkdown, sass, showtext,
styler (>= 1.2.0), targets (>= 0.6.0), testit, tibble,
tikzDevice (>= 0.10), tinytex, webshot, rstudioapi, xml2 (>=
1.2.0)",NA,"GPL",NA,NA,NA,NA,"no","4.2.3"
"kutils","kutils","C:/Program Files/R/R-4.2.3/library","1.70",NA,"R (>= 3.3.0)","stats, utils, methods, foreign, xtable, plyr, openxlsx, RUnit",NA,"rockchalk",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.3"
"labeling","labeling","C:/Program Files/R/R-4.2.3/library","0.4.2",NA,NA,"stats, graphics",NA,NA,NA,"MIT + file LICENSE | Unlimited",NA,NA,NA,NA,"no","4.2.0"
"labelled","labelled","C:/Program Files/R/R-4.2.3/library","2.11.0",NA,"R (>= 3.0)","haven (>= 2.4.1), dplyr (>= 1.0.0), lifecycle, rlang, vctrs,
stringr, tidyr",NA,"testthat, knitr, rmarkdown, questionr, snakecase, utf8, covr,
spelling","memisc","GPL (>= 3)",NA,NA,NA,NA,"no","4.2.3"
"laeken","laeken","C:/Program Files/R/R-4.2.3/library","0.5.2",NA,"R (>= 3.2.0)","boot, MASS",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.3"
